127.0.0.1 - - [06/Oct/2022:13:49:30 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [06/Oct/2022:13:49:46 +0900] "GET /homework/addBook.jsp HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [06/Oct/2022:13:49:46 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [06/Oct/2022:13:50:01 +0900] "GET /addBook.jsp HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [06/Oct/2022:13:50:14 +0900] "GET /bookmarket/addBook.jsp HTTP/1.1" 200 3932
0:0:0:0:0:0:0:1 - - [06/Oct/2022:13:50:14 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2022:13:50:16 +0900] "GET /products.jsp HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [06/Oct/2022:13:50:26 +0900] "GET /bookmarket/bookmarket.jsp HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [06/Oct/2022:13:50:26 +0900] "GET /resources/images/%EC%A0%95%EC%9D%98%EB%9E%80%EB%AC%B4%EC%97%87%EC%9D%B8%EA%B0%80.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2022:13:50:26 +0900] "GET /resources/images/%ED%83%9C%EC%97%BD%EA%B0%90%EB%8A%94%EC%83%88.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2022:13:50:26 +0900] "GET /resources/images/%EB%8F%88%EC%9D%98%EC%8B%AC%EB%A6%AC%ED%95%99.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2022:13:50:46 +0900] "GET /bookmarket/bookmarket.jsp HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [06/Oct/2022:13:50:46 +0900] "GET /bookmarket.jsp HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [06/Oct/2022:13:50:57 +0900] "GET /bookmarket.jsp HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [06/Oct/2022:13:51:08 +0900] "GET /bookmarket/bookmarket.jsp HTTP/1.1" 200 4520
0:0:0:0:0:0:0:1 - - [06/Oct/2022:13:51:08 +0900] "GET /bookmarket/bookmarket/bookmarket.jsp HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [06/Oct/2022:13:51:16 +0900] "GET /bookmarket/bookmarket.jsp HTTP/1.1" 200 4521
0:0:0:0:0:0:0:1 - - [06/Oct/2022:13:51:16 +0900] "GET /bookmarket/bookmarket.jsp HTTP/1.1" 200 4521
0:0:0:0:0:0:0:1 - - [06/Oct/2022:13:51:16 +0900] "GET /bookmarket/bookmarket.jsp HTTP/1.1" 200 4521
0:0:0:0:0:0:0:1 - - [06/Oct/2022:13:51:17 +0900] "GET /bookmarket/bookmarket.jsp HTTP/1.1" 200 4521
0:0:0:0:0:0:0:1 - - [06/Oct/2022:14:08:35 +0900] "GET /bookmarket/bookmarketdetail.jsp?id=P1236 HTTP/1.1" 200 2059
0:0:0:0:0:0:0:1 - - [06/Oct/2022:14:58:16 +0900] "GET /ch08/validation02.jsp HTTP/1.1" 200 796
0:0:0:0:0:0:0:1 - - [06/Oct/2022:14:58:43 +0900] "GET /ch08/validation03.jsp HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [06/Oct/2022:14:59:45 +0900] "GET /ch08/validation03.jsp HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:01:46 +0900] "GET /ch08/validation03.jsp HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:01:46 +0900] "GET /ch08/validation03.jsp HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:01:47 +0900] "GET /ch08/validation03.jsp HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:02:26 +0900] "GET /ch08/validation03.jsp HTTP/1.1" 200 1027
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:02:26 +0900] "GET /ch08/validation03.jsp HTTP/1.1" 200 1027
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:02:26 +0900] "GET /ch08/validation03.jsp HTTP/1.1" 200 1027
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:02:29 +0900] "POST /ch08/validation03_process.jsp HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:03:41 +0900] "GET /ch08/validation04.jsp HTTP/1.1" 200 573
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:06:44 +0900] "GET /ch08/validation04.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:10:42 +0900] "GET /ch08/validation04.jsp HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:14:52 +0900] "GET /ch08/validation042.jsp HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:15:27 +0900] "GET /ch08/validation042.jsp HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:20:02 +0900] "GET /ch08/validation042.jsp HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:20:24 +0900] "GET /ch08/validation042.jsp HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:20:24 +0900] "GET /ch08/validation042.jsp HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:20:54 +0900] "GET /ch08/validation042.jsp HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:20:55 +0900] "GET /ch08/validation042.jsp HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:20:55 +0900] "GET /ch08/validation042.jsp HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:25:51 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 399
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:29:11 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:33:07 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:33:07 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:34:00 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 960
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:34:00 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 960
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:37:40 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:37:40 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:37:40 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:37:41 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:37:41 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:37:58 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:37:59 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:37:59 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:37:59 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:37:59 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:37:59 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:38:00 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:38:00 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:38:01 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:38:01 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:38:02 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:38:02 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:38:05 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:38:05 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:39:32 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1320
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:39:33 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1320
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:39:33 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1320
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:39:33 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1320
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:39:33 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1320
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:39:33 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1320
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:39:34 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1320
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:39:34 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1320
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:39:34 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1320
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:39:34 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1320
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:39:48 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:39:49 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:39:49 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:39:49 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:58:54 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:58:55 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:58:55 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:59:17 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:59:18 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:59:18 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:59:18 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [06/Oct/2022:15:59:18 +0900] "GET /ch08/validation043.jsp HTTP/1.1" 200 1322
